USPS SUFFIX ABBREVIATIONS	Primary Street Commonly Used Street Postal Service Standard
LODGE	LODGE
LOOP	LOOP
LOOP	LOOPS
MALL	MALL
MANOR	MANOR
MANOR	MNR
MANORS	MANORS
MANORS	MNRS
MEADOW	MDW
MEADOW	MEADOW
MEADOWS	MDWS
MEADOWS	MEADOWS
MEADOWS	MEDOWS
MEWS	MEWS
MILL	MILL
MILL	ML
MILLS	MILLS
MILLS	MLS
MISSION	MISSION
MISSION	MISSN
MISSION	MSN
MISSION	MSSN
MOTORWAY	MOTORWAY
MOUNT	MNT
MOUNT	MOUNT
MOUNT	MT
MOUNTAIN	MNTAIN
MOUNTAIN	MNTN
MOUNTAIN	MOUNTAIN
MOUNTAIN	MOUNTIN
MOUNTAIN	MTIN
MOUNTAIN	MTN
MOUNTAINS	MNTNS
MOUNTAINS	MOUNTAINS
NECK	NCK
NECK	NECK
ORCHARD	ORCH
ORCHARD	ORCHARD
ORCHARD	ORCHRD
OVAL	OVAL
OVAL	OVL
OVERPASS	OVERPASS
PARK	PARK
PARK	PK
PARK	PRK
PARKS	PARKS
PARKWAY	PARKWAY
PARKWAY	PARKWY
PARKWAY	PKWAY
PARKWAY	PKWY
PARKWAY	PKY
PARKWAYS	PARKWAYS
PARKWAYS	PKWYS
PASS	PASS
PASSAGE	PASSAGE
PATH	PATH
PATH	PATHS
PIKE	PIKE
PIKE	PIKES
PINE	PINE
PINES	PINES
PINES	PNES
PLACE	PL
PLACE	PLACE
PLAIN	PLAIN
PLAIN	PLN
PLAINS	PLAINES
PLAINS	PLAINS
PLAINS	PLNS
PLAZA	PLAZA
PLAZA	PLZ
PLAZA	PLZA
POINT	POINT
POINT	PT
POINTS	POINTS
POINTS	PTS
PORT	PORT
PORT	PRT
PORTS	PORTS
PORTS	PRTS
PRAIRIE	PR
PRAIRIE	PRAIRIE
PRAIRIE	PRARIE
PRAIRIE	PRR
RADIAL	RAD
RADIAL	RADIAL
RADIAL	RADIEL
RADIAL	RADL
RAMP	RAMP
RANCH	RANCH
RANCH	RANCHES
RANCH	RNCH
RANCH	RNCHS
RAPID	RAPID
RAPID	RPD
RAPIDS	RAPIDS
RAPIDS	RPDS
REST	REST
REST	RST
RIDGE	RDG
RIDGE	RDGE
RIDGE	RIDGE
RIDGES	RDGS
RIDGES	RIDGES
RIVER	RIV
RIVER	RIVER
RIVER	RIVR
RIVER	RVR
ROAD	RD
ROAD	ROAD
ROADS	RDS
ROADS	ROADS
ROUTE	ROUTE
ROW	ROW
RUE	RUE
RUN	RUN
SHOAL	SHL
SHOAL	SHOAL
SHOALS	SHLS
SHOALS	SHOALS
SHORE	SHOAR
SHORE	SHORE
SHORE	SHR
SHORES	SHOARS
SHORES	SHORES
SHORES	SHRS
SKYWAY	SKYWAY
SPRING	SPG
SPRING	SPNG
SPRING	SPRING
SPRING	SPRNG
SPRINGS	SPGS
SPRINGS	SPNGS
SPRINGS	SPRINGS
SPRINGS	SPRNGS
SPUR	SPUR
SPURS	SPURS
SQUARE	SQ
SQUARE	SQR
SQUARE	SQRE
SQUARE	SQU
SQUARE	SQUARE
SQUARES	SQRS
SQUARES	SQUARES
STATION	STA
STATION	STATION
STATION	STATN
STATION	STN
STRAVENUE	STRA
STRAVENUE	STRAV
STRAVENUE	STRAVE
STRAVENUE	STRAVEN
STRAVENUE	STRAVENUE
STRAVENUE	STRAVN
STRAVENUE	STRVN
STRAVENUE	STRVNUE
STREAM	STREAM
STREAM	STREME
STREAM	STRM
STREET	ST
STREET	STR
STREET	STREET
STREET	STRT
STREETS	STREETS
SUMMIT	SMT
SUMMIT	SUMIT
SUMMIT	SUMITT
SUMMIT	SUMMIT
TERRACE	TER
TERRACE	TERR
TERRACE	TERRACE
THROUGHWAY	THROUGHWAY
TRACE	TRACE
TRACE	TRACES
TRACE	TRCE
TRACK	TRACK
TRACK	TRACKS
TRACK	TRAK
TRACK	TRK
TRACK	TRKS
TRAFFICWAY	TRAFFICWAY
TRAFFICWAY	TRFY
TRAIL	TR
TRAIL	TRAIL
TRAIL	TRAILS
TRAIL	TRL
TRAIL	TRLS
TUNNEL	TUNEL
TUNNEL	TUNL
TUNNEL	TUNLS
TUNNEL	TUNNEL
TUNNEL	TUNNELS
TUNNEL	TUNNL
TURNPIKE	TPK
TURNPIKE	TPKE
TURNPIKE	TRNPK
TURNPIKE	TRPK
TURNPIKE	TURNPIKE
TURNPIKE	TURNPK
UNDERPASS	UNDERPASS
UNION	UN
UNION	UNION
UNIONS	UNIONS
VALLEY	VALLEY
VALLEY	VALLY
VALLEY	VLLY
VALLEY	VLY
VALLEYS	VALLEYS
VALLEYS	VLYS
VIADUCT	VDCT
VIADUCT	VIA
VIADUCT	VIADCT
VIADUCT	VIADUCT
VIEW	VIEW
VIEW	VW
VIEWS	VIEWS
VIEWS	VWS
VILLAGE	VILL
VILLAGE	VILLAG
VILLAGE	VILLAGE
VILLAGE	VILLG
VILLAGE	VILLIAGE
VILLAGE	VLG
VILLAGES	VILLAGES
VILLAGES	VLGS
VILLE	VILLE
VILLE	VL
VISTA	VIS
VISTA	VIST
VISTA	VISTA
VISTA	VST
VISTA	VSTA
WALK	WALK
WALKS	WALKS
WALL	WALL
WAY	WAY
WAY	WY
WAYS	WAYS
WELL	WELL
WELLS	WELLS
WELLS	WLS
